source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
inverse_q_analog_functions_report:unlabelled-definition-001,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,188,,definition,Branchwise compositional inverse,"Orientation, source map, and the inverse viewpoint","Orientation, source map, and the inverse viewpoint / Four kinds of inverse problem",no,def:uq-partial-inverse,not applicable,,,"Merged into the canonical partial-inverse definition, which makes the recovered variable, passive parameters, base point, and branch part of the data."
inverse_q_analog_functions_report:unlabelled-definition-002,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,194,,definition,Parameter inverse,"Orientation, source map, and the inverse viewpoint","Orientation, source map, and the inverse viewpoint / Four kinds of inverse problem",no,def:uq-partial-inverse,not applicable,,,Absorbed into the same definition: a parameter inverse is a partial inverse with that parameter designated as the recovered variable.
inverse_q_analog_functions_report:thm:analytic-inverse,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,233,thm:analytic-inverse,theorem,Analytic local inverse,Universal branchwise inversion calculus,"Universal branchwise inversion calculus / Lagrange--B\""urmann reversion",yes,thm:uq-analytic-lagrange,human-proved frontier result,,,"Split and strengthened: existence and uniqueness are in the regular analytic partial-inverse theorem, while the displayed coefficient formula is the analytic Lagrange--Buermann theorem."
inverse_q_analog_functions_report:prop:sensitivity,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,271,prop:sensitivity,proposition,Sensitivity of an inverse branch,Universal branchwise inversion calculus,Universal branchwise inversion calculus / Implicit differentiation in passive parameters,yes,thm:uq-inverse-sensitivities,human-proved frontier result,,,Retained and strengthened to all first and second target/parameter sensitivities with explicit evaluation conventions.
inverse_q_analog_functions_report:thm:puiseux-normal,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,302,thm:puiseux-normal,theorem,Local critical-point normal form,Universal branchwise inversion calculus,Universal branchwise inversion calculus / Critical values and Puiseux inverses,yes,thm:uq-finite-ramification,human-proved frontier result,,,"Retained in a stronger finite-ramification theorem with a convergent normal form, explicit ramified-cover language, and the local monodromy cycle."
inverse_q_analog_functions_report:pr:endpoint-saturation,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,356,pr:endpoint-saturation,principle,Endpoint saturation,Universal branchwise inversion calculus,Universal branchwise inversion calculus / The discriminant and the branch atlas,no,,not applicable,,,Retired as an informal asymptotic principle: the exponential endpoint and quadratic-log regimes are proved separately with hypotheses in the reciprocal-log and log-periodic results.
inverse_q_analog_functions_report:thm:finite-a-zero-inverse,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,401,thm:finite-a-zero-inverse,theorem,Fifth-order inverse at \(a=0\),Finite \texorpdfstring{$q$,Finite \texorpdfstring{$q$ / The principal branch at \texorpdfstring{$a=0$,yes,fp-unit-inverse,human-proved frontier result,,,Deduplicated into the all-order argument inverse; the five printed coefficients are instances of the universal reversion coefficients.
inverse_q_analog_functions_report:prop:finite-root-derivative,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,433,prop:finite-root-derivative,proposition,Derivative at a zero,Finite \texorpdfstring{$q$,Finite \texorpdfstring{$q$ / Inverse branches at the simple zeros,yes,fp-zero-normalization,human-proved frontier result,,,The exact zero derivative and leading inverse normalization are retained; the source quadratic term is absorbed by the universal inverse-sensitivity formula rather than repeated.
inverse_q_analog_functions_report:thm:real-a-atlas,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,464,thm:real-a-atlas,theorem,Real branch atlas,Finite \texorpdfstring{$q$,Finite \texorpdfstring{$q$ / Complete real branch geometry,yes,fp-real-atlas,human-proved frontier result,,,"Retained as the complete real argument atlas, with the ordering of the zero lattice and the simple-fold proof made explicit."
inverse_q_analog_functions_report:thm:root-unity-factorization,inverse_q_analog_functions_report,inverse_q_analog_functions_report/inverse_q_analog_functions.tex,505,thm:root-unity-factorization,theorem,Root-of-unity factorization,Finite \texorpdfstring{$q$,Finite \texorpdfstring{$q$ / Roots of unity and exact ramification,yes,fp-cyclotomic-argument,human-proved frontier result,,,"Strengthened to all residue classes, exact zero multiplicities, and both zero-target and unit-target ramification."
